Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
Hank Williams Jr.,"[0.069, 0.054, 0.877]","[0.024, 0.01, -0.034]","[0.007, 0.012, -0.019]","[0.017, -0.001, -0.016]"
Hanson,"[0.067, 0.046, 0.887]","[0.024, -0.015, -0.009]","[0.016, 0.003, -0.019]","[0.008, -0.018, 0.01]"
Happy Mondays,"[0.062, 0.033, 0.905]","[-0.016, 0.007, 0.009]","[-0.006, -0.003, 0.009]","[-0.01, 0.009, 0.0]"
Harry Belafonte,"[0.07, 0.034, 0.895]","[-0.02, 0.018, 0.002]","[-0.003, 0.017, -0.014]","[-0.017, 0.001, 0.016]"
"Harry Connick, Jr.","[0.083, 0.046, 0.871]","[0.038, 0.005, -0.043]","[0.018, 0.013, -0.031]","[0.02, -0.007, -0.012]"
Heart,"[0.077, 0.05, 0.872]","[-0.009, 0.028, -0.019]","[0.002, 0.035, -0.037]","[-0.011, -0.007, 0.018]"
Helloween,"[0.067, 0.06, 0.873]","[0.001, 0.007, -0.007]","[0.0, 0.008, -0.008]","[0.0, -0.001, 0.0]"
Hillsong,"[0.11, 0.038, 0.852]","[-0.021, 0.011, 0.01]","[-0.001, 0.003, -0.002]","[-0.021, 0.008, 0.013]"
HIM,"[0.075, 0.068, 0.857]","[0.031, 0.001, -0.032]","[-0.008, 0.002, 0.006]","[0.039, -0.001, -0.038]"
Hooverphonic,"[0.075, 0.069, 0.856]","[0.01, -0.0, -0.009]","[0.003, -0.011, 0.009]","[0.007, 0.011, -0.018]"
Howard Jones,"[0.083, 0.051, 0.866]","[0.016, 0.005, -0.022]","[0.012, -0.009, -0.004]","[0.004, 0.014, -0.018]"
Ian Hunter,"[0.062, 0.051, 0.887]","[-0.001, 0.018, -0.017]","[-0.001, 0.015, -0.013]","[0.001, 0.003, -0.004]"
Ice Cube,"[0.05, 0.048, 0.902]","[-0.001, -0.0, 0.001]","[-0.001, -0.0, 0.001]","[-0.001, -0.0, 0.001]"
Idina Menzel,"[0.085, 0.047, 0.868]","[0.087, 0.026, -0.113]","[0.026, 0.013, -0.039]","[0.061, 0.013, -0.074]"
Iggy Pop,"[0.071, 0.05, 0.879]","[0.004, 0.007, -0.011]","[0.001, 0.007, -0.008]","[0.002, 0.0, -0.003]"
Il Divo,"[0.113, 0.066, 0.821]","[0.065, -0.007, -0.058]","[0.044, -0.005, -0.039]","[0.021, -0.002, -0.019]"
Imagine Dragons,"[0.054, 0.05, 0.896]","[-0.001, 0.024, -0.023]","[-0.003, 0.025, -0.022]","[0.002, -0.001, -0.001]"
Imago,"[0.041, 0.02, 0.939]","[0.106, -0.021, -0.086]","[0.017, -0.012, -0.005]","[0.089, -0.009, -0.081]"
Incognito,"[0.084, 0.036, 0.881]","[-0.007, 0.014, -0.007]","[0.0, 0.006, -0.006]","[-0.007, 0.008, -0.001]"
Incubus,"[0.071, 0.056, 0.873]","[0.001, -0.035, 0.034]","[0.005, -0.035, 0.03]","[-0.004, 0.001, 0.004]"
Indigo Girls,"[0.07, 0.05, 0.88]","[-0.021, -0.011, 0.033]","[-0.017, -0.01, 0.027]","[-0.004, -0.002, 0.006]"
Ingrid Michaelson,"[0.092, 0.044, 0.865]","[-0.011, -0.021, 0.032]","[0.003, -0.008, 0.005]","[-0.013, -0.013, 0.026]"
Inna,"[0.07, 0.024, 0.906]","[0.045, -0.04, -0.005]","[-0.026, -0.016, 0.042]","[0.071, -0.024, -0.047]"
Insane Clown Posse,"[0.05, 0.061, 0.889]","[-0.01, -0.023, 0.033]","[-0.007, -0.019, 0.026]","[-0.003, -0.004, 0.007]"
INXS,"[0.074, 0.053, 0.873]","[-0.016, 0.003, 0.012]","[-0.011, -0.002, 0.013]","[-0.005, 0.005, -0.0]"
Iron Butterfly,"[0.104, 0.039, 0.857]","[0.061, -0.01, -0.051]","[0.065, -0.014, -0.051]","[-0.004, 0.004, -0.0]"
Iron Maiden,"[0.057, 0.05, 0.893]","[0.01, -0.001, -0.009]","[0.009, 0.002, -0.01]","[0.001, -0.002, 0.001]"
Irving Berlin,"[0.076, 0.037, 0.887]","[-0.016, 0.01, 0.007]","[-0.011, 0.007, 0.003]","[-0.006, 0.003, 0.003]"
Israel Houghton,"[0.119, 0.036, 0.846]","[0.053, 0.039, -0.091]","[0.043, 0.02, -0.063]","[0.01, 0.019, -0.028]"
Iwan Fals,"[0.038, 0.007, 0.955]","[-0.002, 0.0, 0.002]","[-0.027, 0.007, 0.019]","[0.025, -0.007, -0.017]"
Jackson Browne,"[0.069, 0.044, 0.887]","[0.024, 0.02, -0.044]","[0.023, 0.018, -0.041]","[0.001, 0.002, -0.003]"
The Jam,"[0.066, 0.051, 0.883]","[0.015, 0.007, -0.023]","[0.011, 0.003, -0.015]","[0.004, 0.004, -0.008]"
James Taylor,"[0.065, 0.039, 0.896]","[-0.02, 0.004, 0.016]","[-0.019, 0.003, 0.016]","[-0.001, 0.002, -0.0]"
Janis Joplin,"[0.078, 0.039, 0.883]","[-0.025, 0.01, 0.016]","[-0.018, -0.017, 0.035]","[-0.007, 0.026, -0.019]"
Jason Mraz,"[0.086, 0.041, 0.874]","[-0.012, 0.008, 0.005]","[-0.011, 0.009, 0.002]","[-0.001, -0.001, 0.002]"
Jennifer Lopez,"[0.093, 0.042, 0.866]","[-0.008, -0.019, 0.027]","[-0.015, -0.009, 0.023]","[0.007, -0.01, 0.003]"
Jim Croce,"[0.065, 0.04, 0.895]","[-0.01, -0.006, 0.016]","[-0.013, -0.002, 0.016]","[0.004, -0.004, -0.0]"
Jimi Hendrix,"[0.063, 0.038, 0.899]","[-0.004, 0.018, -0.014]","[-0.003, 0.007, -0.003]","[-0.0, 0.011, -0.01]"
Jimmy Buffett,"[0.059, 0.038, 0.904]","[-0.026, -0.018, 0.044]","[-0.016, -0.019, 0.035]","[-0.01, 0.001, 0.009]"
John Denver,"[0.073, 0.041, 0.886]","[0.007, -0.003, -0.004]","[0.008, 0.003, -0.012]","[-0.001, -0.007, 0.008]"
John Legend,"[0.1, 0.043, 0.857]","[0.002, 0.017, -0.019]","[0.003, 0.008, -0.011]","[-0.0, 0.008, -0.008]"
John Martyn,"[0.107, 0.05, 0.843]","[0.02, 0.043, -0.063]","[0.017, 0.044, -0.061]","[0.003, -0.001, -0.002]"
John McDermott,"[0.057, 0.039, 0.904]","[0.018, -0.021, 0.003]","[0.014, -0.007, -0.007]","[0.003, -0.013, 0.01]"
John Mellencamp,"[0.065, 0.05, 0.885]","[-0.085, -0.031, 0.116]","[-0.088, -0.032, 0.12]","[0.003, 0.0, -0.003]"
John Prine,"[0.063, 0.042, 0.895]","[0.023, -0.002, -0.022]","[0.007, 0.008, -0.015]","[0.016, -0.01, -0.006]"
John Waite,"[0.077, 0.046, 0.877]","[-0.036, -0.008, 0.044]","[-0.004, -0.012, 0.015]","[-0.033, 0.004, 0.029]"
Johnny Cash,"[0.059, 0.039, 0.901]","[0.012, 0.004, -0.016]","[0.011, 0.002, -0.013]","[0.001, 0.002, -0.003]"
Joni Mitchell,"[0.063, 0.047, 0.89]","[0.013, 0.01, -0.023]","[0.011, 0.006, -0.017]","[0.001, 0.005, -0.006]"
Jose Mari Chan,"[0.093, 0.039, 0.868]","[0.004, 0.01, -0.014]","[0.006, 0.004, -0.01]","[-0.002, 0.007, -0.004]"
Josh Groban,"[0.064, 0.049, 0.886]","[0.006, -0.004, -0.002]","[0.008, 0.001, -0.009]","[-0.002, -0.004, 0.007]"
Journey,"[0.092, 0.045, 0.862]","[-0.032, 0.005, 0.028]","[-0.035, 0.003, 0.032]","[0.002, 0.002, -0.004]"
Joy Division,"[0.056, 0.044, 0.9]","[0.006, 0.006, -0.012]","[-0.005, 0.008, -0.002]","[0.011, -0.002, -0.009]"
Judas Priest,"[0.054, 0.057, 0.89]","[0.009, -0.01, 0.001]","[0.002, -0.007, 0.005]","[0.007, -0.003, -0.004]"
Judy Garland,"[0.071, 0.043, 0.885]","[-0.035, -0.075, 0.11]","[-0.01, -0.065, 0.075]","[-0.025, -0.01, 0.035]"
Justin Bieber,"[0.087, 0.047, 0.866]","[0.012, 0.01, -0.023]","[0.016, -0.002, -0.014]","[-0.004, 0.012, -0.009]"
Justin Timberlake,"[0.084, 0.032, 0.884]","[0.059, -0.006, -0.053]","[0.016, 0.001, -0.016]","[0.044, -0.007, -0.037]"
Kanye West,"[0.066, 0.044, 0.89]","[0.041, 0.003, -0.044]","[0.013, 0.006, -0.019]","[0.028, -0.003, -0.025]"
Kari Jobe,"[0.1, 0.047, 0.853]","[0.011, -0.001, -0.01]","[-0.002, 0.007, -0.005]","[0.013, -0.008, -0.006]"
Kate Bush,"[0.069, 0.044, 0.887]","[-0.012, -0.008, 0.02]","[-0.004, -0.014, 0.017]","[-0.009, 0.006, 0.003]"
Katy Perry,"[0.063, 0.044, 0.893]","[0.018, -0.003, -0.015]","[0.008, -0.008, -0.001]","[0.009, 0.005, -0.014]"
Keith Green,"[0.08, 0.041, 0.879]","[-0.047, -0.008, 0.056]","[-0.016, 0.002, 0.015]","[-0.031, -0.01, 0.041]"
Keith Urban,"[0.079, 0.039, 0.882]","[-0.056, -0.04, 0.096]","[-0.018, -0.025, 0.043]","[-0.037, -0.015, 0.053]"
Kelly Clarkson,"[0.084, 0.051, 0.865]","[-0.032, 0.001, 0.031]","[-0.011, -0.001, 0.012]","[-0.021, 0.002, 0.02]"
Kenny Chesney,"[0.068, 0.039, 0.893]","[-0.022, -0.003, 0.026]","[-0.015, -0.009, 0.024]","[-0.008, 0.006, 0.002]"
Kenny Loggins,"[0.089, 0.042, 0.869]","[0.007, 0.003, -0.01]","[-0.001, 0.005, -0.004]","[0.007, -0.002, -0.006]"
Kenny Rogers,"[0.087, 0.042, 0.871]","[-0.017, 0.015, 0.002]","[0.003, 0.014, -0.017]","[-0.02, 0.001, 0.018]"
Kid Rock,"[0.059, 0.048, 0.893]","[0.015, -0.015, -0.0]","[0.005, -0.001, -0.004]","[0.011, -0.014, 0.004]"
The Killers,"[0.071, 0.045, 0.884]","[-0.004, -0.018, 0.022]","[0.003, -0.002, -0.001]","[-0.006, -0.016, 0.022]"
Kim Wilde,"[0.087, 0.053, 0.86]","[0.033, 0.009, -0.041]","[0.007, -0.005, -0.003]","[0.025, 0.013, -0.039]"
King Crimson,"[0.06, 0.043, 0.897]","[0.006, 0.036, -0.042]","[0.013, 0.031, -0.044]","[-0.007, 0.005, 0.002]"
King Diamond,"[0.057, 0.055, 0.888]","[0.012, 0.023, -0.035]","[0.011, 0.019, -0.03]","[0.001, 0.004, -0.005]"
Kirk Franklin,"[0.075, 0.051, 0.874]","[-0.023, 0.025, -0.002]","[-0.03, 0.016, 0.014]","[0.007, 0.009, -0.016]"
Koes Plus,"[0.068, 0.004, 0.928]","[-0.037, 0.0, 0.037]","[-0.019, 0.004, 0.015]","[-0.018, -0.004, 0.022]"
Korn,"[0.065, 0.065, 0.87]","[0.021, 0.026, -0.048]","[0.009, 0.011, -0.02]","[0.012, 0.015, -0.028]"
Kris Kristofferson,"[0.08, 0.056, 0.865]","[0.005, 0.013, -0.018]","[0.002, 0.008, -0.01]","[0.003, 0.005, -0.008]"
Kyla,"[0.087, 0.042, 0.87]","[-0.038, -0.017, 0.056]","[-0.027, -0.003, 0.03]","[-0.012, -0.014, 0.025]"
Kylie Minogue,"[0.09, 0.041, 0.869]","[-0.011, -0.003, 0.014]","[-0.007, -0.002, 0.01]","[-0.004, -0.0, 0.004]"
Lady Gaga,"[0.08, 0.05, 0.87]","[-0.026, 0.001, 0.025]","[0.009, -0.005, -0.004]","[-0.034, 0.006, 0.029]"
Lana Del Rey,"[0.082, 0.037, 0.882]","[0.051, 0.022, -0.073]","[0.053, 0.03, -0.083]","[-0.002, -0.008, 0.01]"
Lata Mangeshkar,"[0.026, 0.011, 0.963]","[0.005, 0.024, -0.029]","[0.007, -0.0, -0.007]","[-0.002, 0.024, -0.022]"
Lauryn Hill,"[0.085, 0.053, 0.862]","[0.066, -0.026, -0.04]","[0.016, -0.026, 0.01]","[0.05, -0.0, -0.05]"
Lea Salonga,"[0.094, 0.056, 0.851]","[0.026, 0.014, -0.041]","[0.007, 0.001, -0.008]","[0.019, 0.013, -0.033]"
Lenny Kravitz,"[0.085, 0.039, 0.876]","[0.005, 0.012, -0.017]","[-0.0, 0.009, -0.009]","[0.005, 0.003, -0.008]"
Leo Sayer,"[0.082, 0.042, 0.876]","[0.018, 0.004, -0.023]","[0.026, 0.009, -0.035]","[-0.008, -0.005, 0.013]"
Leonard Cohen,"[0.076, 0.044, 0.88]","[-0.005, -0.0, 0.006]","[0.0, -0.002, 0.002]","[-0.005, 0.001, 0.004]"
Lil Wayne,"[0.063, 0.053, 0.884]","[0.001, 0.017, -0.018]","[0.011, 0.013, -0.025]","[-0.01, 0.003, 0.007]"
Linda Ronstadt,"[0.091, 0.049, 0.86]","[-0.005, 0.015, -0.009]","[-0.012, 0.009, 0.003]","[0.007, 0.005, -0.012]"
Linkin Park,"[0.053, 0.063, 0.885]","[-0.006, 0.017, -0.011]","[-0.001, 0.002, -0.002]","[-0.005, 0.015, -0.01]"
Lionel Richie,"[0.088, 0.043, 0.868]","[-0.002, -0.0, 0.002]","[0.006, -0.001, -0.004]","[-0.008, 0.001, 0.006]"
Little Mix,"[0.097, 0.044, 0.859]","[-0.009, -0.027, 0.036]","[0.001, -0.001, -0.001]","[-0.011, -0.027, 0.037]"
Little Walter,"[0.115, 0.033, 0.851]","[0.077, 0.002, -0.079]","[0.06, -0.001, -0.059]","[0.017, 0.002, -0.02]"
LL Cool J,"[0.066, 0.043, 0.891]","[-0.015, -0.001, 0.016]","[-0.012, 0.0, 0.012]","[-0.003, -0.001, 0.004]"
Lloyd Cole,"[0.086, 0.053, 0.861]","[-0.002, -0.004, 0.006]","[-0.003, 0.002, 0.0]","[0.0, -0.006, 0.006]"
Lorde,"[0.072, 0.048, 0.88]","[-0.035, -0.009, 0.044]","[-0.016, 0.002, 0.014]","[-0.019, -0.011, 0.03]"
Loretta Lynn,"[0.083, 0.048, 0.869]","[0.006, -0.009, 0.002]","[0.003, -0.009, 0.007]","[0.004, 0.001, -0.004]"
Lou Reed,"[0.074, 0.047, 0.879]","[-0.02, 0.034, -0.013]","[-0.026, 0.029, -0.003]","[0.005, 0.005, -0.01]"
Louis Armstrong,"[0.086, 0.037, 0.877]","[0.043, 0.007, -0.051]","[0.059, -0.001, -0.059]","[-0.016, 0.008, 0.008]"
Louis Jordan,"[0.056, 0.035, 0.909]","[-0.134, 0.03, 0.104]","[-0.128, 0.027, 0.101]","[-0.006, 0.003, 0.003]"
Lucky Dube,"[0.068, 0.041, 0.891]","[0.024, -0.007, -0.017]","[-0.01, -0.002, 0.012]","[0.035, -0.005, -0.029]"
Luther Vandross,"[0.125, 0.048, 0.827]","[-0.03, 0.014, 0.015]","[-0.033, 0.01, 0.023]","[0.003, 0.005, -0.008]"
Lynyrd Skynyrd,"[0.069, 0.042, 0.889]","[-0.043, 0.006, 0.037]","[-0.035, 0.013, 0.022]","[-0.008, -0.007, 0.015]"
Madonna,"[0.096, 0.043, 0.861]","[0.046, 0.008, -0.055]","[0.038, 0.008, -0.045]","[0.008, 0.001, -0.009]"
Manowar,"[0.044, 0.04, 0.917]","[-0.001, -0.004, 0.005]","[-0.002, 0.002, 0.0]","[0.001, -0.006, 0.005]"
Mariah Carey,"[0.086, 0.043, 0.871]","[-0.03, -0.025, 0.055]","[-0.018, -0.012, 0.03]","[-0.012, -0.012, 0.025]"
Marianne Faithfull,"[0.087, 0.05, 0.863]","[-0.004, -0.002, 0.006]","[-0.014, 0.008, 0.006]","[0.01, -0.01, -0.001]"
Marillion,"[0.062, 0.052, 0.887]","[0.018, 0.015, -0.033]","[0.017, 0.011, -0.029]","[0.001, 0.003, -0.005]"
Marilyn Manson,"[0.067, 0.072, 0.861]","[-0.023, 0.017, 0.006]","[-0.015, 0.01, 0.005]","[-0.008, 0.007, 0.001]"
Maroon 5,"[0.083, 0.052, 0.864]","[-0.005, -0.019, 0.025]","[-0.002, -0.006, 0.009]","[-0.003, -0.013, 0.016]"
Mary Black,"[0.068, 0.042, 0.89]","[0.033, 0.003, -0.036]","[0.014, 0.005, -0.019]","[0.019, -0.002, -0.017]"
Matt Monro,"[0.106, 0.038, 0.856]","[-0.105, -0.005, 0.11]","[-0.103, -0.009, 0.112]","[-0.002, 0.004, -0.002]"
Matt Redman,"[0.097, 0.036, 0.867]","[-0.046, 0.007, 0.039]","[0.015, 0.016, -0.031]","[-0.061, -0.008, 0.07]"
Mazzy Star,"[0.066, 0.058, 0.876]","[0.016, 0.023, -0.039]","[0.006, 0.0, -0.006]","[0.01, 0.023, -0.033]"
Meat Loaf,"[0.072, 0.05, 0.879]","[0.011, 0.004, -0.015]","[0.016, 0.006, -0.022]","[-0.006, -0.001, 0.007]"
Megadeth,"[0.049, 0.058, 0.893]","[-0.005, -0.006, 0.011]","[-0.009, -0.006, 0.015]","[0.003, 0.001, -0.004]"
Metallica,"[0.053, 0.061, 0.886]","[-0.012, 0.018, -0.006]","[-0.013, 0.01, 0.003]","[0.0, 0.008, -0.008]"
Michael Bolton,"[0.109, 0.043, 0.848]","[-0.015, -0.008, 0.024]","[-0.004, 0.001, 0.003]","[-0.012, -0.009, 0.02]"
Michael Jackson,"[0.083, 0.049, 0.867]","[-0.03, 0.009, 0.021]","[-0.032, 0.011, 0.02]","[0.002, -0.002, 0.0]"
Michael W. Smith,"[0.088, 0.043, 0.869]","[0.052, -0.019, -0.033]","[0.006, -0.004, -0.002]","[0.045, -0.015, -0.03]"
Miley Cyrus,"[0.09, 0.048, 0.862]","[-0.016, -0.005, 0.022]","[-0.004, -0.007, 0.011]","[-0.012, 0.002, 0.011]"
Misfits,"[0.052, 0.055, 0.893]","[-0.012, -0.012, 0.024]","[-0.02, -0.016, 0.036]","[0.009, 0.003, -0.012]"
Modern Talking,"[0.092, 0.046, 0.862]","[-0.021, -0.008, 0.029]","[-0.018, -0.011, 0.029]","[-0.002, 0.003, -0.0]"
The Monkees,"[0.086, 0.043, 0.871]","[0.016, 0.012, -0.028]","[0.01, 0.013, -0.023]","[0.006, -0.001, -0.005]"
Moody Blues,"[0.079, 0.046, 0.874]","[-0.063, -0.037, 0.101]","[-0.03, -0.014, 0.045]","[-0.033, -0.023, 0.056]"
Morrissey,"[0.082, 0.053, 0.865]","[-0.015, 0.008, 0.006]","[-0.001, 0.009, -0.007]","[-0.014, -0.0, 0.014]"
Mud,"[0.098, 0.041, 0.861]","[-0.019, 0.018, 0.001]","[0.015, 0.003, -0.019]","[-0.034, 0.014, 0.02]"
Nat King Cole,"[0.099, 0.041, 0.859]","[0.025, 0.03, -0.055]","[0.022, 0.028, -0.05]","[0.003, 0.002, -0.005]"
Natalie Cole,"[0.09, 0.04, 0.871]","[0.007, 0.004, -0.011]","[0.023, 0.005, -0.028]","[-0.016, -0.0, 0.016]"
Natalie Grant,"[0.092, 0.044, 0.864]","[-0.031, 0.009, 0.022]","[0.001, 0.008, -0.01]","[-0.032, 0.0, 0.032]"
Natalie Imbruglia,"[0.071, 0.054, 0.874]","[0.024, 0.052, -0.076]","[-0.008, 0.0, 0.008]","[0.031, 0.052, -0.083]"
Nazareth,"[0.071, 0.054, 0.876]","[-0.005, -0.0, 0.005]","[-0.011, -0.001, 0.012]","[0.006, 0.001, -0.007]"
Neil Diamond,"[0.094, 0.043, 0.863]","[0.017, 0.005, -0.022]","[0.02, -0.0, -0.019]","[-0.003, 0.006, -0.003]"
Neil Sedaka,"[0.076, 0.052, 0.872]","[-0.002, 0.024, -0.022]","[-0.002, 0.015, -0.012]","[0.0, 0.009, -0.01]"
Neil Young,"[0.068, 0.046, 0.887]","[0.017, 0.015, -0.031]","[0.012, 0.007, -0.018]","[0.005, 0.008, -0.013]"
New Order,"[0.075, 0.049, 0.877]","[-0.045, 0.014, 0.031]","[-0.037, 0.014, 0.023]","[-0.008, -0.001, 0.008]"
Nick Cave,"[0.071, 0.047, 0.882]","[0.022, 0.01, -0.032]","[0.026, 0.01, -0.036]","[-0.004, 0.0, 0.004]"
Nick Drake,"[0.072, 0.035, 0.893]","[0.05, 0.014, -0.064]","[0.014, 0.001, -0.014]","[0.036, 0.013, -0.05]"
Nickelback,"[0.072, 0.048, 0.88]","[0.014, 0.01, -0.024]","[0.025, 0.015, -0.04]","[-0.011, -0.006, 0.016]"
Nicki Minaj,"[0.059, 0.059, 0.882]","[-0.013, -0.004, 0.017]","[-0.009, -0.01, 0.019]","[-0.005, 0.007, -0.002]"
Nightwish,"[0.07, 0.056, 0.874]","[0.001, 0.011, -0.012]","[-0.003, 0.001, 0.001]","[0.004, 0.009, -0.013]"
Nina Simone,"[0.079, 0.045, 0.876]","[0.027, -0.001, -0.026]","[0.028, -0.0, -0.028]","[-0.001, -0.0, 0.001]"
Nine Inch Nails,"[0.067, 0.05, 0.884]","[-0.008, -0.005, 0.013]","[-0.009, -0.007, 0.016]","[0.001, 0.002, -0.003]"
Nirvana,"[0.073, 0.054, 0.874]","[0.039, -0.007, -0.033]","[0.01, 0.0, -0.01]","[0.029, -0.007, -0.022]"
Nitty Gritty Dirt Band,"[0.056, 0.04, 0.905]","[-0.016, -0.013, 0.028]","[-0.012, -0.01, 0.023]","[-0.003, -0.003, 0.006]"
Noa,"[0.078, 0.053, 0.869]","[0.025, -0.004, -0.021]","[0.013, 0.009, -0.022]","[0.012, -0.013, 0.001]"
NOFX,"[0.06, 0.051, 0.889]","[0.006, 0.003, -0.009]","[0.001, 0.006, -0.007]","[0.005, -0.003, -0.002]"
Norah Jones,"[0.082, 0.044, 0.873]","[0.039, -0.017, -0.022]","[0.001, -0.0, -0.001]","[0.038, -0.017, -0.021]"
O-Zone,"[0.025, 0.007, 0.968]","[0.061, 0.002, -0.063]","[0.025, 0.002, -0.027]","[0.036, -0.001, -0.036]"
O.A.R.,"[0.061, 0.044, 0.895]","[0.014, -0.004, -0.01]","[0.016, 0.012, -0.029]","[-0.002, -0.016, 0.019]"
Oasis,"[0.069, 0.044, 0.887]","[-0.003, 0.014, -0.011]","[-0.008, -0.004, 0.012]","[0.005, 0.018, -0.023]"
Ocean Colour Scene,"[0.084, 0.051, 0.866]","[-0.054, -0.064, 0.117]","[-0.053, -0.054, 0.108]","[-0.0, -0.01, 0.01]"
Ofra Haza,"[0.043, 0.048, 0.91]","[0.044, 0.098, -0.142]","[0.019, 0.041, -0.06]","[0.025, 0.057, -0.082]"
Oingo Boingo,"[0.067, 0.069, 0.864]","[-0.022, 0.065, -0.043]","[-0.001, 0.002, -0.001]","[-0.021, 0.063, -0.042]"
Olly Murs,"[0.097, 0.047, 0.856]","[-0.05, -0.017, 0.066]","[-0.021, -0.005, 0.026]","[-0.029, -0.011, 0.04]"
One Direction,"[0.083, 0.038, 0.879]","[-0.017, -0.01, 0.027]","[-0.004, 0.008, -0.004]","[-0.012, -0.018, 0.031]"
OneRepublic,"[0.089, 0.026, 0.885]","[-0.036, 0.001, 0.035]","[-0.028, 0.006, 0.022]","[-0.008, -0.005, 0.013]"
Opeth,"[0.053, 0.066, 0.882]","[0.003, 0.022, -0.025]","[0.008, 0.024, -0.033]","[-0.006, -0.002, 0.008]"
Orphaned Land,"[0.07, 0.046, 0.884]","[-0.071, -0.008, 0.079]","[-0.026, 0.002, 0.024]","[-0.045, -0.01, 0.056]"
Otis Redding,"[0.098, 0.043, 0.858]","[0.009, 0.016, -0.025]","[0.012, 0.018, -0.03]","[-0.003, -0.001, 0.004]"
Our Lady Peace,"[0.091, 0.055, 0.854]","[-0.007, 0.02, -0.012]","[0.005, 0.005, -0.01]","[-0.012, 0.014, -0.002]"
Overkill,"[0.065, 0.059, 0.876]","[0.001, 0.015, -0.015]","[-0.002, 0.014, -0.012]","[0.002, 0.001, -0.003]"
Owl City,"[0.059, 0.043, 0.898]","[-0.003, 0.008, -0.005]","[-0.001, -0.001, 0.001]","[-0.003, 0.009, -0.006]"
